Unnamed: 0,romaji,english,native,description,tags,url,country,genres,cover,input
0,Chainsaw Man,Chainsaw Man,チェンソーマン,"The name says it all! Denji's life of poverty is changed forever when he merges with his pet chainsaw dog, Pochita! Now he's living in the big city and an official Devil Hunter. But he's got a lot to learn about his new job and chainsaw powers!<br>
<br>
(Source: MANGA Plus)<br>
<br>
<i>Notes:<br>
- Nominated for the 2020 Manga Taisho Award.<br>
- Winner of the 2021 Kono Manga ga Sugoi Award.<br>
- Winner of the 66th Shogakukan Manga Award in the shounen category.<br>
- Winner of the 2021 and 2022 Harvey Award for Best Manga.<br>
- Chapters 1-97 were released in Weekly Shounen Jump from Dec 3, 2018 to Dec 13, 2020. The series resumed from Ch. 98 in Shounen Jump+ on July 12, 2022</i>","[('Demons', 97), ('Urban Fantasy', 92), ('Dissociative Identities', 90), ('Gore', 89), ('Male Protagonist', 88), ('Body Horror', 88), ('Cosmic Horror', 85), ('Tragedy', 84), ('Urban', 84), ('Survival', 82), ('Monster Boy', 80), ('Work', 80), ('Henshin', 79), ('Memory Manipulation', 78), ('Guns', 75), ('Human Pet', 75), ('Ensemble Cast', 74), ('Assassins', 73), ('Shounen', 73), ('Meta', 72), ('Found Family', 72), ('Monster Girl', 71), ('Primarily Teen Cast', 70), ('Revenge', 69), ('Female Protagonist', 68), ('Shapeshifting', 66), ('Terrorism', 65), ('Slapstick', 63), ('School', 60), ('Yandere', 60), ('Office Lady', 60), ('Afterlife', 58), ('Politics', 58), ('Nudity', 57), ('Angels', 56), ('Philosophy', 55), ('Delinquents', 53), ('Cannibalism', 51), ('War', 51), ('Yakuza', 50), ('Age Gap', 50), ('Tomboy', 50), ('Amnesia', 49), ('Necromancy', 48), ('Time Skip', 47), ('Mafia', 45), ('Zombie', 42), ('Chimera', 42), ('Tsundere', 36)]",https://anilist.co/manga/105778,JP,"['Action', 'Comedy', 'Drama', 'Horror', 'Supernatural']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx105778-82gwrvQV6OBc.png,"The name says it all! Denji's life of poverty is changed forever when he merges with his pet chainsaw dog, Pochita! Now he's living in the big city and an official Devil Hunter. But he's got a lot to learn about his new job and chainsaw powers! A action, comedy, drama, horror, supernatural japanese manga comic series. The story contains the themes, tropes and topics of demons, urban fantasy, dissociative identities, gore, male protagonist, body horror, cosmic horror, tragedy, urban, survival, monster boy, work, henshin, memory manipulation, guns, human pet, ensemble cast, assassins, shounen, meta, found family, monster girl, primarily teen cast, revenge, female protagonist, shapeshifting, terrorism, slapstick, school, yandere, office lady, afterlife, politics, nudity, angels, philosophy, delinquents, cannibalism, war, yakuza, age gap, tomboy."
1,Shingeki no Kyojin,Attack on Titan,進撃の巨人,"In this post-apocalyptic sci-fi story, humanity has been devastated by the bizarre, giant humanoids known as the Titans. Little is known about where they came from or why they are bent on consuming mankind. Seemingly unintelligent, they have roamed the world for years, killing everyone they see. For the past century, what's left of man has hidden in a giant, three-walled city. People believe their 50-meter-high walls will protect them from the Titans, but the sudden appearance of an immense Titan is about to change everything.
<br><br>
(Source: Kodansha USA)
<br><br>
<i>Note: Includes 2 extra chapters.</i>","[('Dystopian', 94), ('Anti-Hero', 93), ('War', 92), ('Tragedy', 89), ('Military', 89), ('Conspiracy', 89), ('Survival', 87), ('Kaiju', 85), ('Memory Manipulation', 85), ('Shapeshifting', 85), ('Henshin', 83), ('Monster Boy', 83), ('Philosophy', 83), ('Politics', 82), ('Revenge', 82), ('Terrorism', 81), ('Male Protagonist', 80), ('Post-Apocalyptic', 78), ('Super Power', 77), ('Time Manipulation', 77), ('Body Horror', 77), ('Gore', 75), ('Cosmic Horror', 75), ('Ensemble Cast', 73), ('Time Skip', 70), ('Cannibalism', 68), ('Coming of Age', 66), ('Slavery', 64), ('Torture', 64), ('Alternate Universe', 64), ('Shounen', 63), ('Swordplay', 62), ('Espionage', 60), ('Reincarnation', 60), ('Tsundere', 58), ('Amnesia', 56), ('Disability', 55), ('Dissociative Identities', 50), ('Kuudere', 50), ('Heterosexual', 47), ('LGBTQ+ Themes', 46), ('Achronological Order', 45), ('Drugs', 43), ('Suicide', 40)]",https://anilist.co/manga/53390,JP,"['Action', 'Drama', 'Fantasy', 'Mystery']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx53390-1RsuABC34P9D.jpg,"In this post-apocalyptic sci-fi story, humanity has been devastated by the bizarre, giant humanoids known as the Titans. Little is known about where they came from or why they are bent on consuming mankind. Seemingly unintelligent, they have roamed the world for years, killing everyone they see. For the past century, what's left of man has hidden in a giant, three-walled city. People believe their 50-meter-high walls will protect them from the Titans, but the sudden appearance of an immense Titan is about to change everything. A action, drama, fantasy, mystery japanese manga comic series. The story contains the themes, tropes and topics of dystopian, anti-hero, war, tragedy, military, conspiracy, survival, kaiju, memory manipulation, shapeshifting, henshin, monster boy, philosophy, politics, revenge, terrorism, male protagonist, post-apocalyptic, super power, time manipulation, body horror, gore, cosmic horror, ensemble cast, time skip, cannibalism, coming of age, slavery, torture, alternate universe, shounen, swordplay, espionage, reincarnation, tsundere, amnesia, disability, dissociative identities, kuudere."
2,Na Honjaman Level Up,Solo Leveling,나 혼자만 레벨업,"In a world where awakened beings called “Hunters” must battle deadly monsters to protect humanity, Sung Jinwoo, nicknamed “the weakest hunter of all mankind,” finds himself in a constant struggle for survival. One day, after a brutal encounter in an overpowered dungeon wipes out his party and threatens to end his life, a mysterious System chooses him as its sole player: Jinwoo has been granted the rare opportunity to level up his abilities, possibly beyond any known limits. Follow Jinwoo’s journey as he takes on ever-stronger enemies, both human and monster, to discover the secrets deep within the dungeons and the ultimate extent of his powers.
<br><br>
(Source: Tappytoon)
<br><br>
<i>Note: Chapter count includes a prologue. </i>","[('Dungeon', 94), ('War', 94), ('Male Protagonist', 93), ('Super Power', 92), ('Full Color', 89), ('Magic', 87), ('Urban Fantasy', 85), ('Necromancy', 84), ('Gods', 80), ('Primarily Adult Cast', 68), ('Politics', 67), ('Post-Apocalyptic', 65), ('Demons', 63), ('Tragedy', 62), ('Age Regression', 60), ('Memory Manipulation', 60), ('Video Games', 60), ('Foreign', 59), ('Anti-Hero', 59), ('Heterosexual', 56), ('Assassins', 52), ('Time Manipulation', 52), ('Chimera', 50), ('Time Skip', 48), ('Language Barrier', 44), ('Dragons', 40), ('4-koma', 20)]",https://anilist.co/manga/105398,KR,"['Action', 'Adventure', 'Fantasy']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx105398-b673Vt5ZSuz3.jpg,"In a world where awakened beings called “Hunters” must battle deadly monsters to protect humanity, Sung Jinwoo, nicknamed “the weakest hunter of all mankind,” finds himself in a constant struggle for survival. One day, after a brutal encounter in an overpowered dungeon wipes out his party and threatens to end his life, a mysterious System chooses him as its sole player: Jinwoo has been granted the rare opportunity to level up his abilities, possibly beyond any known limits. Follow Jinwoo’s journey as he takes on ever-stronger enemies, both human and monster, to discover the secrets deep within the dungeons and the ultimate extent of his powers. A action, adventure, fantasy korean manhwa comic series. The story contains the themes, tropes and topics of dungeon, war, male protagonist, super power, full color, magic, urban fantasy, necromancy, gods, primarily adult cast, politics, post-apocalyptic, demons, tragedy, age regression, memory manipulation, video games, foreign, anti-hero, heterosexual, assassins, time manipulation, chimera."
3,Berserk,Berserk,ベルセルク,"His name is Guts, the Black Swordsman, a feared warrior spoken of only in whispers. Bearer of a gigantic sword, an iron hand, and the scars of countless battles and tortures, his flesh is also indelibly marked with The Brand, an unholy symbol that draws the forces of darkness to him and dooms him as their sacrifice. But Guts won't take his fate lying down; he'll cut a crimson swath of carnage through the ranks of the damned—and anyone else foolish enough to oppose him! Accompanied by Puck the Elf, more an annoyance than a companion, Guts relentlessly follows a dark, bloodstained path that leads only to death...or vengeance.<br>
<br>
(Source: Dark Horse)<br>
<br>
<i>Notes:<br>
- Volumes 1-5 contain the 16 prequel chapters 0A - 0P.<br>
- <a href=""https://anilist.co/manga/95821/"">Chapter 83</a> was omitted from Volume 13 due to the author’s request.<br>
- Volume 14 includes “<a href=""https://anilist.co/manga/36408/"">Berserk: The Prototype</a>”.<br>
- Due to the author's passing, starting from Chapter 365, the manga is illustrated by Studio Gaga (Miura's assistants) and supervised by Kouji Mori (a close friend of Miura's).</i>","[('Tragedy', 96), ('Seinen', 96), ('Revenge', 94), ('Male Protagonist', 93), ('Demons', 92), ('Gore', 88), ('Cosmic Horror', 88), ('Philosophy', 85), ('Found Family', 85), ('Anti-Hero', 83), ('Magic', 81), ('Swordplay', 81), ('War', 80), ('Body Horror', 78), ('Gods', 76), ('Travel', 75), ('Rehabilitation', 75), ('Nudity', 73), ('Disability', 73), ('Religion', 72), ('Military', 71), ('Amnesia', 69), ('Coming of Age', 68), ('Sadism', 68), ('Mythology', 68), ('Politics', 67), ('Elf', 67), ('Primarily Adult Cast', 67), ('Love Triangle', 65), ('Witch', 65), ('Torture', 65), ('Achronological Order', 62), ('Ensemble Cast', 61), ('Group Sex', 60), ('Incest', 60), ('Survival', 60), ('Heterosexual', 59), ('Tomboy', 58), ('Age Regression', 58), ('Time Skip', 57), ('Pregnant', 56), ('Vore', 56), ('Masturbation', 55), ('Foreign', 53), ('Prostitution', 52), ('Kaiju', 52), ('Slavery', 50), ('Adoption', 50), ('Fairy', 50), ('Dystopian', 48), ('Cult', 48), ('Ships', 44), ('Skeleton', 44), ('Fellatio', 40), ('Dungeon', 40), ('Mermaid', 35), ('Female Protagonist', 35), ('Dragons', 33), ('Super Power', 30), ('Monster Boy', 20), ('Monster Girl', 20), ('LGBTQ+ Themes', 20)]",https://anilist.co/manga/30002,JP,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Psychological']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx30002-7EzO7o21jzeF.jpg,"His name is Guts, the Black Swordsman, a feared warrior spoken of only in whispers. Bearer of a gigantic sword, an iron hand, and the scars of countless battles and tortures, his flesh is also indelibly marked with The Brand, an unholy symbol that draws the forces of darkness to him and dooms him as their sacrifice. But Guts won't take his fate lying down; he'll cut a crimson swath of carnage through the ranks of the damned—and anyone else foolish enough to oppose him! Accompanied by Puck the Elf, more an annoyance than a companion, Guts relentlessly follows a dark, bloodstained path that leads only to death...or vengeance. A action, adventure, drama, fantasy, horror, psychological japanese manga comic series. The story contains the themes, tropes and topics of tragedy, seinen, revenge, male protagonist, demons, gore, cosmic horror, philosophy, found family, anti-hero, magic, swordplay, war, body horror, gods, travel, rehabilitation, nudity, disability, religion, military, amnesia, coming of age, sadism, mythology, politics, elf, primarily adult cast, love triangle, witch, torture, achronological order, ensemble cast, group sex, incest, survival, heterosexual, tomboy, age regression, time skip, pregnant, vore, masturbation, foreign, prostitution, kaiju, slavery, adoption, fairy."
4,Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,鬼滅の刃,"The setting is Taisho era Japan. Tanjirou is a kindhearted young boy who lived peacefully with his family as a coal seller. Their normal life changes completely when his family is slaughtered by demons. The only other survivor, Tanjirou's younger sister Nezuko, has become a ferocious demon. In order to return Nezuko to normal and get revenge on the demon that killed their family, the two of them depart on a journey. From a young talent, an adventure tale of blood and swords begins!
<br><br>
(Source: Shonen Jump)
<br><br>
<i>Notes:<br>
- Includes 2 extra chapters.<br> 
- Nominated to the 24th and 25th Annual Tezuka Osamu Cultural Prize.</i>","[('Demons', 98), ('Shounen', 93), ('Swordplay', 92), ('Tragedy', 86), ('Male Protagonist', 83), ('Revenge', 76), ('Gore', 67), ('Historical', 63), ('Body Horror', 59), ('Rural', 58), ('Coming of Age', 58), ('Time Skip', 55), ('Heterosexual', 55), ('Trains', 55), ('Shapeshifting', 53), ('Guns', 50), ('Travel', 44), ('Family Life', 42), ('Afterlife', 40), ('Reincarnation', 40), ('Orphan', 40), ('Age Regression', 37), ('Drugs', 29), ('Youkai', 28), ('Oiran', 25), ('Disability', 20), ('Bisexual', 15)]",https://anilist.co/manga/87216,JP,"['Action', 'Adventure', 'Drama', 'Supernatural']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx87216-c9bSNVD10UuD.png,"The setting is Taisho era Japan. Tanjirou is a kindhearted young boy who lived peacefully with his family as a coal seller. Their normal life changes completely when his family is slaughtered by demons. The only other survivor, Tanjirou's younger sister Nezuko, has become a ferocious demon. In order to return Nezuko to normal and get revenge on the demon that killed their family, the two of them depart on a journey. From a young talent, an adventure tale of blood and swords begins! A action, adventure, drama, supernatural japanese manga comic series. The story contains the themes, tropes and topics of demons, shounen, swordplay, tragedy, male protagonist, revenge, gore, historical, body horror, rural, coming of age, time skip, heterosexual, trains, shapeshifting, guns."
5,ONE PIECE,One Piece,ONE PIECE,"As a child, Monkey D. Luffy was inspired to become a pirate by listening to the tales of the buccaneer ""Red-Haired"" Shanks. But his life changed when Luffy accidentally ate the Gum-Gum Devil Fruit and gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, still vowing to become the king of the pirates, Luffy sets out on his adventure...one guy alone in a rowboat, in search of the legendary ""One Piece,"" said to be the greatest treasure in the world...
<br><br>
(Source: Viz Media)","[('Pirates', 97), ('Travel', 96), ('Found Family', 96), ('Shounen', 94), ('Ensemble Cast', 91), ('Super Power', 87), ('Tragedy', 84), ('Post-Apocalyptic', 83), ('Male Protagonist', 82), ('Ships', 80), ('Military', 79), ('Fugitive', 78), ('Crime', 78), ('Politics', 77), ('Conspiracy', 77), ('Large Breasts', 76), ('Assassins', 74), ('War', 73), ('Slapstick', 73), ('Revenge', 73), ('Dystopian', 71), ('Cultivation', 71), ('Primarily Adult Cast', 70), ('Time Skip', 69), ('Lost Civilization', 69), ('Anachronism', 68), ('Slavery', 66), ('Swordplay', 66), ('Drugs', 66), ('Desert', 66), ('Animals', 65), ('Mythology', 64), ('Gangs', 63), ('Coming of Age', 62), ('Environmental', 61), ('Espionage', 60), ('Adoption', 60), ('Asexual', 60), ('Crossdressing', 60), ('Prison', 60), ('Anti-Hero', 59), ('Skeleton', 58), ('Cyborg', 57), ('Samurai', 56), ('Henshin', 56), ('Robots', 55), ('Guns', 55), ('Amnesia', 54), ('Medicine', 52), ('LGBTQ+ Themes', 52), ('Food', 51), ('Mermaid', 51), ('Age Gap', 50), ('Dragons', 49), ('Oiran', 48), ('Battle Royale', 48), ('Trains', 46), ('Zombie', 44), ('Dinosaurs', 44), ('Monster Girl', 44), ('Memory Manipulation', 43), ('Time Manipulation', 42), ('Centaur', 42), ('Transgender', 40), ('Gender Bending', 40), ('Body Swapping', 28)]",https://anilist.co/manga/30013,JP,"['Action', 'Adventure', 'Comedy', 'Fantasy']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx30013-tZVlfBCHbrNL.jpg,"As a child, Monkey D. Luffy was inspired to become a pirate by listening to the tales of the buccaneer ""Red-Haired"" Shanks. But his life changed when Luffy accidentally ate the Gum-Gum Devil Fruit and gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, still vowing to become the king of the pirates, Luffy sets out on his adventure...one guy alone in a rowboat, in search of the legendary ""One Piece,"" said to be the greatest treasure in the world... A action, adventure, comedy, fantasy japanese manga comic series. The story contains the themes, tropes and topics of pirates, travel, found family, shounen, ensemble cast, super power, tragedy, post-apocalyptic, male protagonist, ships, military, fugitive, crime, politics, conspiracy, large breasts, assassins, war, slapstick, revenge, dystopian, cultivation, primarily adult cast, time skip, lost civilization, anachronism, slavery, swordplay, drugs, desert, animals, mythology, gangs, coming of age, environmental, espionage, adoption, asexual, crossdressing, prison, anti-hero, skeleton, cyborg, samurai, henshin, robots, guns, amnesia, medicine, lgbtq+ themes, food, mermaid, age gap."
6,Jujutsu Kaisen,Jujutsu Kaisen,呪術廻戦,"Although Yuji Itadori looks like your average teenager, his immense physical strength is something to behold! Every sports club wants him to join, but Itadori would rather hang out with the school outcasts in the Occult Research Club. One day, the club manages to get their hands on a sealed cursed object. Little do they know the terror they’ll unleash when they break the seal…
<br><br>
(Source: Viz Media)
<br><br>
<i>Notes:<br>
- Ranked 1st in Japan's Bookstore Employees Top Manga of 2018.<br>
- Nominated for the 25th Annual Tezuka Osamu Cultural Prize in 2021.<br>
- Nominated for the 65th Shogakukan Manga Award in the Shounen Category in 2019.</i>","[('Urban Fantasy', 96), ('Super Power', 95), ('Demons', 93), ('Shounen', 91), ('Monster Boy', 89), ('Youkai', 89), ('Tragedy', 87), ('Male Protagonist', 85), ('Magic', 80), ('Martial Arts', 80), ('Body Horror', 77), ('Primarily Teen Cast', 74), ('Death Game', 73), ('Dissociative Identities', 72), ('Gore', 70), ('Battle Royale', 70), ('Ensemble Cast', 68), ('Cosmic Horror', 57), ('Philosophy', 55), ('School', 51), ('Time Skip', 46), ('Anti-Hero', 45), ('Sadism', 45), ('Surreal Comedy', 44), ('Cult', 40), ('Time Manipulation', 40), ('Swordplay', 40), ('LGBTQ+ Themes', 38), ('Assassins', 37), ('Urban', 30), ('Baseball', 26), ('Guns', 24), ('Nudity', 20), ('Transgender', 20)]",https://anilist.co/manga/101517,JP,"['Action', 'Drama', 'Supernatural']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx101517-H3TdM3g5ZUe9.jpg,"Although Yuji Itadori looks like your average teenager, his immense physical strength is something to behold! Every sports club wants him to join, but Itadori would rather hang out with the school outcasts in the Occult Research Club. One day, the club manages to get their hands on a sealed cursed object. Little do they know the terror they’ll unleash when they break the seal… A action, drama, supernatural japanese manga comic series. The story contains the themes, tropes and topics of urban fantasy, super power, demons, shounen, monster boy, youkai, tragedy, male protagonist, magic, martial arts, body horror, primarily teen cast, death game, dissociative identities, gore, battle royale, ensemble cast, cosmic horror, philosophy, school."
7,Boku no Hero Academia,My Hero Academia,僕のヒーローアカデミア,"Middle school student Izuku Midoriya wants to be a hero more than anything, but he hasn’t got an ounce of power in him. With no chance of ever getting into the prestigious U.A. High School for budding heroes, his life is looking more and more like a dead end. Then an encounter with All Might, the greatest hero of them all, gives him a chance to change his destiny…<br><br>(Source: Viz Media)
<br><br>
<i>Note:<br>
- Winner of the 1st Next Manga Award in the Print Category in 2015.<br>
- Nominated for the 8th Manga Taisho Award in 2015.<br> 
- Nominated for the 40th Kodansha Manga Award in the Shounen Category in 2016.<i>","[('Superhero', 97), ('Super Power', 96), ('Primarily Teen Cast', 93), ('Shounen', 92), ('Male Protagonist', 89), ('Ensemble Cast', 86), ('School', 81), ('Anti-Hero', 80), ('Terrorism', 80), ('Cultivation', 77), ('Coming of Age', 77), ('Crime', 74), ('War', 72), ('Primarily Male Cast', 66), ('Tragedy', 65), ('Revenge', 65), ('Gore', 63), ('Politics', 56), ('Fugitive', 55), ('Drugs', 50), ('Heterosexual', 45), ('Guns', 44), ('Yakuza', 34), ('Robots', 33), ('Tomboy', 32), ('Animals', 25), ('Urban', 20), ('Transgender', 16)]",https://anilist.co/manga/85486,JP,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx85486-INqnYx8gL3eX.jpg,"Middle school student Izuku Midoriya wants to be a hero more than anything, but he hasn’t got an ounce of power in him. With no chance of ever getting into the prestigious U.A. High School for budding heroes, his life is looking more and more like a dead end. Then an encounter with All Might, the greatest hero of them all, gives him a chance to change his destiny… A action, adventure, comedy, drama, fantasy japanese manga comic series. The story contains the themes, tropes and topics of superhero, super power, primarily teen cast, shounen, male protagonist, ensemble cast, school, anti-hero, terrorism, cultivation, coming of age, crime, war, primarily male cast, tragedy, revenge, gore, politics, fugitive, drugs."
8,Tokyo Ghoul,Tokyo Ghoul,東京喰種 トーキョーグール,"Shy Ken Kaneki is thrilled to go on a date with the beautiful Rize. But it turns out that she’s only interested in his body—eating it, that is. When a morally questionable rescue transforms him into the first half-human half-Ghoul hybrid, Ken is drawn into the dark and violent world of Ghouls, which exists alongside our own.
<br><br>
(Source: Viz Media)
<br><br>
<i>Note: Includes 1 extra chapter.</i>","[('Tragedy', 97), ('Urban Fantasy', 88), ('Cannibalism', 86), ('Male Protagonist', 85), ('Shapeshifting', 84), ('Dystopian', 84), ('Gore', 82), ('Seinen', 79), ('Survival', 78), ('Coming of Age', 74), ('Philosophy', 72), ('Body Horror', 71), ('Torture', 67), ('Cosmic Horror', 56), ('Police', 52), ('Kuudere', 50), ('Chimera', 40), ('Primarily Adult Cast', 40), ('Twins', 20), ('Heterosexual', 20)]",https://anilist.co/manga/63327,JP,"['Action', 'Horror', 'Mystery', 'Psychological', 'Supernatural']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx63327-zvK2l9DjCqK4.jpg,"Shy Ken Kaneki is thrilled to go on a date with the beautiful Rize. But it turns out that she’s only interested in his body—eating it, that is. When a morally questionable rescue transforms him into the first half-human half-Ghoul hybrid, Ken is drawn into the dark and violent world of Ghouls, which exists alongside our own. A action, horror, mystery, psychological, supernatural japanese manga comic series. The story contains the themes, tropes and topics of tragedy, urban fantasy, cannibalism, male protagonist, shapeshifting, dystopian, gore, seinen, survival, coming of age, philosophy, body horror, torture, cosmic horror, police, kuudere."
9,SPY×FAMILY,SPY x FAMILY,SPY×FAMILY,"The master spy codenamed &lt;Twilight&gt; has spent his days on undercover missions, all for the dream of a better world. But one day, he receives a particularly difficult new order from command. For his mission, he must form a temporary family and start a new life?! A Spy/Action/Comedy about a one-of-a-kind family!<br><br>
(Source: MANGA Plus)<br><br>
<i>Notes:<br>
- Includes 2 ""Extra Missions"" and 9 “Short Missions”.<br>
- Nominated for the 24th Tezuka Osamu Cultural Prize in 2020.<br>
- Nominated for the 13th and 14th Manga Taisho Award in 2020 and 2021.<br>
- Nominated for the 44th Kodansha Manga Award in the Shounen Category in 2020.</i>","[('Family Life', 98), ('Espionage', 95), ('Found Family', 91), ('War', 86), ('Surreal Comedy', 85), ('Assassins', 82), ('Male Protagonist', 82), ('Female Protagonist', 81), ('Adoption', 81), ('Work', 80), ('School', 79), ('Shounen', 74), ('Guns', 74), ('Politics', 73), ('Super Power', 69), ('Terrorism', 68), ('Iyashikei', 68), ('Heterosexual', 68), ('Slapstick', 66), ('Episodic', 64), ('Ensemble Cast', 64), ('Foreign', 62), ('Satire', 60), ('Parody', 60), ('Historical', 50), ('Orphan', 46), ('Anachronism', 40), ('Tsundere', 33), ('Gore', 25), ('Impersonation', 20)]",https://anilist.co/manga/108556,JP,"['Action', 'Comedy', 'Slice of Life', 'Supernatural']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx108556-NHjkz0BNJhLx.jpg,"The master spy codenamed &lt;Twilight&gt; has spent his days on undercover missions, all for the dream of a better world. But one day, he receives a particularly difficult new order from command. For his mission, he must form a temporary family and start a new life?! A Spy/Action/Comedy about a one-of-a-kind family! A action, comedy, slice of life, supernatural japanese manga comic series. The story contains the themes, tropes and topics of family life, espionage, found family, war, surreal comedy, assassins, male protagonist, female protagonist, adoption, work, school, shounen, guns, politics, super power, terrorism, iyashikei, heterosexual, slapstick, episodic, ensemble cast, foreign, satire, parody, historical."
10,Oyasumi Punpun,Goodnight Punpun,おやすみプンプン,"Meet Punpun Punyama. He’s an average kid in an average town.<br>
He wants to win a Nobel Prize and save the world.<br>
He wants the girl he has a crush on to like him back.<br>
He wants to find some porn.<br>
That’s what he wants, but what does he get…?
<br><br>
(Source: Viz Media)","[('Coming of Age', 98), ('Seinen', 92), ('Tragedy', 90), ('Philosophy', 89), ('Denpa', 85), ('Suicide', 82), ('Male Protagonist', 75), ('Urban', 74), ('Heterosexual', 73), ('Time Skip', 71), ('Fugitive', 68), ('School', 63), ('Cult', 61), ('Surreal Comedy', 59), ('Work', 58), ('Rape', 57), ('Nudity', 56), ('Meta', 50), ('Anti-Hero', 50), ('Body Horror', 48), ('Large Breasts', 47), ('Love Triangle', 44)]",https://anilist.co/manga/34632,JP,"['Drama', 'Psychological', 'Slice of Life']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx34632-14deknANZitb.png,"Meet Punpun Punyama. He’s an average kid in an average town.He wants to win a Nobel Prize and save the world.He wants the girl he has a crush on to like him back.He wants to find some porn.That’s what he wants, but what does he get…? A drama, psychological, slice of life japanese manga comic series. The story contains the themes, tropes and topics of coming of age, seinen, tragedy, philosophy, denpa, suicide, male protagonist, urban, heterosexual, time skip, fugitive, school, cult, surreal comedy, work, rape, nudity, meta, anti-hero."
11,One Punch-Man,One-Punch Man,ワンパンマン,"In this new action-comedy, everything about a young man named Saitama screams ""AVERAGE,&rdquo; from his lifeless expression, to his bald head, to his unimpressive physique. However, this average-looking fellow doesn't have your average problem... He's actually a superhero that's looking for tough opponents! The problem is, every time he finds a promising candidate he beats the snot out of them in one punch. Can Saitama finally find an evil villain strong enough to challenge him? Follow Saitama through his hilarious romps as he searches for new bad guys to challenge!
<br><br>
(Source: Viz Media)","[('Superhero', 96), ('Super Power', 95), ('Parody', 91), ('Surreal Comedy', 91), ('Primarily Adult Cast', 78), ('Male Protagonist', 77), ('Meta', 75), ('Ensemble Cast', 74), ('Slapstick', 73), ('Cosmic Horror', 72), ('Seinen', 71), ('Cyborg', 65), ('Gods', 62), ('Martial Arts', 60), ('Philosophy', 60), ('Swordplay', 60), ('Gore', 54), ('Aliens', 52), ('Time Manipulation', 48), ('Nudity', 40), ('Urban', 20), ('LGBTQ+ Themes', 10)]",https://anilist.co/manga/74347,JP,"['Action', 'Comedy', 'Sci-Fi', 'Supernatural']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx74347-O6KMkECzHPOE.jpg,"In this new action-comedy, everything about a young man named Saitama screams ""AVERAGE,&rdquo; from his lifeless expression, to his bald head, to his unimpressive physique. However, this average-looking fellow doesn't have your average problem... He's actually a superhero that's looking for tough opponents! The problem is, every time he finds a promising candidate he beats the snot out of them in one punch. Can Saitama finally find an evil villain strong enough to challenge him? Follow Saitama through his hilarious romps as he searches for new bad guys to challenge! A action, comedy, sci-fi, supernatural japanese manga comic series. The story contains the themes, tropes and topics of superhero, super power, parody, surreal comedy, primarily adult cast, male protagonist, meta, ensemble cast, slapstick, cosmic horror, seinen, cyborg, gods, martial arts, philosophy, swordplay, gore, aliens."
